file_name,Tokens,ner_tags,Labels,number_of_tokens,Language,source,Label_counts,number_of_annotations,doi,sentence_id
98412.txt,"['Title', ':', '\n', '2020_Helfrich_AGEE', '\n\n', 'Abstract', ':', '\n', 'Datenmeldung', 'nach', 'dem', 'EGovG.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",12,de,OpenAgrar,Counter(),0,,98412-0
98412.txt,"['Der', 'Datensatz', 'kann', 'auf', 'Anfrage', 'zur', 'Verfügung', 'gestellt', 'werden', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10,de,OpenAgrar,Counter(),0,,98412-1
98412.txt,"['Eine', 'Datennutzungsvereinbarung', 'wird', 'abgeschlossen', '.']","[0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O']",5,de,OpenAgrar,Counter(),0,,98412-2
98412.txt,"['Grassland', 'conversion', 'to', 'cropland', 'bears', 'a', 'risk', 'of', 'increased', 'nitrate', '(', 'NO3−', ')', 'leaching', 'and', 'nitrous', 'oxide', '(', 'N2O', ')', 'emission', 'due', 'to', 'enhanced', 'nitrogen', '(', 'N', ')', 'mineralization', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",30,en,OpenAgrar,Counter(),0,,98412-3
98412.txt,"['This', 'study', 'investigates', 'the', 'dynamics', 'of', 'mineral', 'N', 'and', 'N2O', 'emissions', 'following', 'chemical', 'and', 'mechanical', 'conversion', 'from', 'permanent', 'grassland', 'to', 'cropland', '(', 'maize', ')', 'at', 'two', 'sites', 'with', 'different', 'texture', '(', 'clayey', 'loam', 'and', 'sandy', 'loam', ')', 'and', 'fertilization', 'regime', '(', 'with', 'and', 'without', 'mineral', 'N', '-', 'fertilization', ')', 'over', 'a', 'two', '-', 'year', 'period', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 14, 14, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cropSpecies', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-soilTexture', 'I-soilTexture', 'O', 'B-soilTexture', 'I-soilTexture', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O']",56,en,OpenAgrar,"Counter({'soilTexture': 2, 'cropSpecies': 1, 'duration': 1})",4,,98412-4
98412.txt,"['Soil', 'mineral', 'N', 'levels', 'increased', 'shortly', 'after', 'conversion', 'and', 'remained', 'elevated', 'in', 'converted', 'plots', 'compared', 'to', 'permanent', 'grassland', 'or', 'long', '-', 'term', 'cropland', 'in', 'the', 'second', 'year', 'of', 'investigation', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",30,en,OpenAgrar,Counter(),0,,98412-5
98412.txt,"['Fluxes', 'of', 'N2O', 'were', 'higher', 'from', 'converted', 'plots', 'than', 'permanent', 'grassland', 'or', 'cropland', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",14,en,OpenAgrar,Counter(),0,,98412-6
98412.txt,"['However', ',', 'soil', 'mineral', 'N', 'contents', 'and', 'cumulative', 'N2O', 'emissions', 'did', 'not', 'differ', 'between', 'conversion', 'types', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",17,en,OpenAgrar,Counter(),0,,98412-7
98412.txt,"['Only', 'the', 'distribution', 'of', 'N2O', 'losses', 'over', 'the', 'two', 'years', 'differed', ':', 'while', 'losses', 'were', 'of', 'similar', 'magnitude', 'in', 'both', 'years', 'in', 'mechanically', 'converted', 'plots', ',', 'the', 'major', 'part', 'of', 'N2O', 'loss', 'in', 'chemically', 'converted', 'plots', 'occurred', 'in', 'the', 'first', 'year', 'after', 'conversion', 'while', 'emissions', 'approximated', 'grassland', 'level', 'in', 'the', 'second', 'year', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",53,en,OpenAgrar,Counter(),0,,98412-8
98412.txt,"['N2O', 'fluxes', 'were', 'mainly', 'controlled', 'by', 'water', '-', 'filled', 'pore', 'space', 'and', 'soil', 'NO3−', 'levels', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",16,en,OpenAgrar,Counter(),0,,98412-9
98412.txt,"['Despite', 'differences', 'in', 'N', 'levels', 'at', 'the', 'two', 'sites', ',', 'these', 'key', 'findings', 'are', 'similar', 'on', 'both', 'study', 'sites', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",20,en,OpenAgrar,Counter(),0,,98412-10
98412.txt,"['They', 'indicate', 'strongly', 'accelerated', 'mineralization', 'after', 'conversion', ',', 'an', 'effect', 'that', 'still', 'lasted', 'in', 'the', 'converted', 'plots', 'at', 'the', 'end', 'of', 'the', 'two', '-', 'year', 'investigation', 'irrespective', 'of', 'the', 'conversion', 'type', 'used', '.', '\n\n']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",34,en,OpenAgrar,Counter(),0,,98412-11
