publisher,Count
Bundesbehörden und Einrichtungen im Geschäftsbereich des Bundesministeriums für Ernährung und Landwirtschaft (BMEL),18789
Julius Kühn-Institut,3105
Friedrich-Loeffler-Inst.,1101
Friedrich-Loeffler-Institut,382
Bundesforschungsanstalt für Landwirtschaft,289
Johann Heinrich von Thünen-Institut,280
Biologische Reichsanstalt für Land- und Forstwirtschaft in Berlin-Dahlem,271
Biologische Bundesanstalt für Land- und Forstwirtschaft,172
FAL,170
Parey,143
Bundesforschungsanstalt für Forst- und Holzwirtschaft,123
Verein für Arznei- und Gewürzpflanzen SALUPLANTA e. V.,95
Bundesforschungsanstalt für Landwirtschaft ; Bundesforschungsanstalt für Forst- und Holzwirtschaft,75
ICES,74
Julius Kühn-Institute,59
JKI - Institut für Anwendungstechnik im Pflanzenschutz,57
Julius Kühn-Inst.,45
Bundesanstalt für Züchtungsforschung an Kulturpflanzen,37
Free Farrowing,36
Springer Science and Business Media LLC,34
Wiley,33
Thünen-Institut für Ländliche Räume,32
"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",31
Elsevier BV,29
MDPI AG,27
Publications Office of the European Union,27
vTI,27
"Julius Kühn-Institut, Deutschland",25
Parey in Komm.,23
JKI- Institut für Anwendungstechnik im Pflanzenschutz,23
Ulmer,23
Frontiers Media SA,21
BFE,20
Thünen-Institut für Lebensverhältnisse in ländlichen Räumen,20
Parey [u.a.],20
"Julius Kühn Institute, Germany",17
Bundesanstalt für Landwirtschaft und Ernährung,14
Parey [in Komm.],14
"Verlagsbuchhandlung Paul Parey, Verlagsbuchhandlung Julius Springer",14
aid infodienst,13
Julius Kühn-lnstitut,12
"Landesanstalt für Landwirtschaft, Forsten und Gartenbau Sachsen-Anhalt",12
Thünen-Institut für Betriebswirtschaft,11
Biologische Bundesanst. für Land- und Forstwirtschaft Parey in Komm.,9
Deutsche Gesellschaft für Qualitätsforschung (Pflanzliche Nahrungsmittel) DGQ e. V.,8
Thünen Institute of Forest Ecosystems,8
"Bundesforschungsanstalt für Forst- und Holzwirtschaft, Institut für Weltforstwirtschaft",8
"Deutsche Gesellschaft für Qualitätsforschung (DGQ) (Pflanzliche Nahrungsmittel) e. V., Deutschland",8
INRA Station de Recherches de Zoologie et d'Apidologie,8
Blackwell,8
Kommissionsverlag Paul Parey,8
Paul Parey,8
Bundesforschungsanstalt für Landwirtschaft (FAL),7
Blackwell-Wiss.-Verl.,7
IOBC/WPRS,7
INRA - Station de Recherches de Zoologie et d'Apidologie,7
Zenodo,7
Nationale Forschungsplattform für Zoonosen,7
Eigenverlag,6
J.D. Sauerländer,6
Institut für Bienenschutz,6
Gesellschaft für Mykotoxinforschung e.V.,6
Bundesinstitut für Risikobewertung,6
Landwirtschaftsverlag,6
ICFMH,5
Senat der Bundesforschungsinstitute des Bundesministeriums für Ernährung und Landwirtschaft,5
